,Date String,Tournament,"Score(F,A)",Team Name,Opponent
0,November 08,Salt City Classic 2025,"('13', '7')",Ottawa,Toronto
1,November 08,Salt City Classic 2025,"('12', '9')",Ottawa,Syracuse
2,November 08,Salt City Classic 2025,"('13', '5')",Ottawa,SUNY-Binghamton
3,November 08,Salt City Classic 2025,"('13', '7')",Ottawa,Yale
4,November 09,Salt City Classic 2025,"('15', '7')",Ottawa,Syracuse
5,November 09,Salt City Classic 2025,"('12', '7')",Ottawa,SUNY-Buffalo
6,November 08,Salt City Classic 2025,"('12', '11')",Yale,SUNY-Binghamton
7,November 08,Salt City Classic 2025,"('11', '9')",Yale,Syracuse
8,November 08,Salt City Classic 2025,"('10', '11')",Yale,Toronto
9,November 08,Salt City Classic 2025,"('7', '13')",Yale,Ottawa
10,November 09,Salt City Classic 2025,"('10', '11')",Yale,SUNY-Buffalo
11,November 09,Salt City Classic 2025,"('6', '15')",Yale,Vermont [B]
12,November 08,Salt City Classic 2025,"('12', '6')",Syracuse,SUNY-Binghamton
13,November 08,Salt City Classic 2025,"('9', '12')",Syracuse,Ottawa
14,November 08,Salt City Classic 2025,"('9', '11')",Syracuse,Yale
15,November 08,Salt City Classic 2025,"('12', '10')",Syracuse,Toronto
16,November 09,Salt City Classic 2025,"('11', '10')",Syracuse,Vermont [B]
17,November 09,Salt City Classic 2025,"('7', '15')",Syracuse,Ottawa
18,November 09,Salt City Classic 2025,"('13', '12')",Syracuse,Cornell
19,November 08,Salt City Classic 2025,"('7', '13')",Toronto,Ottawa
20,November 08,Salt City Classic 2025,"('11', '8')",Toronto,SUNY-Binghamton
21,November 08,Salt City Classic 2025,"('11', '10')",Toronto,Yale
22,November 08,Salt City Classic 2025,"('10', '12')",Toronto,Syracuse
23,November 09,Salt City Classic 2025,"('1', '0')",Toronto,Syracuse University [B]
24,November 09,Salt City Classic 2025,"('8', '10')",Toronto,SUNY-Binghamton
25,November 08,Salt City Classic 2025,"('6', '12')",SUNY-Binghamton,Syracuse
26,November 08,Salt City Classic 2025,"('11', '12')",SUNY-Binghamton,Yale
27,November 08,Salt City Classic 2025,"('8', '11')",SUNY-Binghamton,Toronto
28,November 08,Salt City Classic 2025,"('5', '13')",SUNY-Binghamton,Ottawa
29,November 09,Salt City Classic 2025,"('13', '6')",SUNY-Binghamton,RIT
30,November 09,Salt City Classic 2025,"('10', '8')",SUNY-Binghamton,Toronto
31,November 08,Salt City Classic 2025,"('12', '8')",Cornell,SUNY-Buffalo
